id,词语,词类标记,词类名称,出现次数,频率,累积频率
7549,外在,a,形容词,140,0.0015,86.4951
7550,少伟,nhs,人名-名,140,0.0015,86.4966
7551,奴隶社会,n,名词,140,0.0015,86.4981
7552,镇上,nl,处所名词,140,0.0015,86.4996
7553,京,j,缩略语,140,0.0015,86.5011
7554,简称,n,名词,140,0.0015,86.4771
7555,跳动,v,动词,140,0.0015,86.5056
7556,视线,n,名词,140,0.0015,86.4816
7557,冲破,v,动词,140,0.0015,86.4756
7558,主管,n,名词,140,0.0015,86.4531
7559,蜡烛,n,名词,140,0.0015,86.4651
7560,民主主义,n,名词,140,0.0015,86.4576
7561,弟,n,名词,140,0.0015,86.4591
7562,衰老,a,形容词,140,0.0015,86.4606
7563,关闭,v,动词,140,0.0015,86.4621
7564,账,n,名词,140,0.0015,86.4636
7565,公主,n,名词,140,0.0015,86.4561
7566,全村,n,名词,140,0.0015,86.4666
7567,奇异,a,形容词,140,0.0015,86.4681
7568,神经系统,n,名词,140,0.0015,86.4696
7569,亲爱的,n,名词,140,0.0015,86.4711
7570,路子,n,名词,140,0.0015,86.4786
7571,毒素,n,名词,140,0.0015,86.4726
7572,被动,v,动词,140,0.0015,86.4546
7573,愣,v,动词,140,0.0015,86.4741
7574,左边,nd,方位名词,139,0.0015,86.5431
7575,大量,m,数词,139,0.0015,86.5446
7576,书写,v,动词,139,0.0015,86.5356
7577,良心,n,名词,139,0.0015,86.5551
7578,时节,n,名词,139,0.0015,86.5401
7579,陷于,v,动词,139,0.0015,86.5461
7580,葫芦,n,名词,139,0.0015,86.5386
7581,栏,n,名词,139,0.0015,86.5476
7582,中叶,nt,时间名词,139,0.0015,86.5491
7583,上边,nd,方位名词,139,0.0015,86.5506
7584,便,c,连词,139,0.0015,86.5521
7585,资产,n,名词,139,0.0015,86.5581
7586,人身,n,名词,139,0.0015,86.5671
7587,探测器,n,名词,139,0.0015,86.5656
7588,作业,v,动词,139,0.0015,86.5641
7589,论点,n,名词,139,0.0015,86.5626
7590,本章,n,名词,139,0.0015,86.5686
7591,睁开,v,动词,139,0.0015,86.5611
7592,屈服,v,动词,139,0.0015,86.5596
7593,阴阳,n,名词,139,0.0015,86.5536
7594,基建,j,缩略语,139,0.0015,86.5566
7595,太阳能,n,名词,139,0.0015,86.5416
7596,威信,n,名词,139,0.0015,86.5341
7597,停下来,v,动词,139,0.0015,86.5071
7598,滴,n,名词,139,0.0015,86.5176
7599,啃,v,动词,139,0.0015,86.5206
7600,饼,n,名词,139,0.0015,86.5161
7601,曹,nhf,人名-姓,139,0.0015,86.5146
7602,兴建,v,动词,139,0.0015,86.5131
7603,感性,a,形容词,139,0.0015,86.5116
7604,引用,v,动词,139,0.0015,86.5101
7605,五四,j,缩略语,139,0.0015,86.5086
7606,烟囱,n,名词,139,0.0015,86.5191
7607,放进,v,动词,139,0.0015,86.5221
7608,凝,v,动词,139,0.0015,86.5236
7609,净化,v,动词,139,0.0015,86.5251
7610,精度,n,名词,139,0.0015,86.5266
7611,熔,v,动词,139,0.0015,86.5281
7612,星云,n,名词,139,0.0015,86.5311
7613,友,n,名词,139,0.0015,86.5371
7614,可得,vu,能愿动词,139,0.0015,86.5326
7615,终身,n,名词,139,0.0015,86.5296
7616,冰雪,n,名词,138,0.0014,86.6036
7617,万一,c,连词,138,0.0014,86.605
7618,橡皮,n,名词,138,0.0014,86.6176
7619,成年,n,名词,138,0.0014,86.6064
7620,站住,v,动词,138,0.0014,86.6008
7621,副,a,形容词,138,0.0014,86.6092
7622,看去,v,动词,138,0.0014,86.6106
7623,主要矛盾,n,名词,138,0.0014,86.5812
7624,期望,n,名词,138,0.0014,86.612
7625,滤,v,动词,138,0.0014,86.6022
7626,开幕,v,动词,138,0.0014,86.6134
7627,同行,n,名词,138,0.0014,86.6148
7628,不注意,v,动词,138,0.0014,86.619
7629,刑罚,n,名词,138,0.0014,86.6302
7630,道教,n,名词,138,0.0014,86.6288
7631,一丝,mq,数量,138,0.0014,86.6274
7632,走廊,n,名词,138,0.0014,86.626
7633,写字,v,动词,138,0.0014,86.6246
7634,乡下,nl,处所名词,138,0.0014,86.6232
7635,落叶,n,名词,138,0.0014,86.6162
7636,自力更生,i,习用语,138,0.0014,86.6204
7637,瘤,n,名词,138,0.0014,86.6218
7638,以来,nd,方位名词,138,0.0014,86.6078
7639,翼,n,名词,138,0.0014,86.5896
7640,图中,nl,处所名词,138,0.0014,86.5784
7641,流血,v,动词,138,0.0014,86.57
7642,专题,n,名词,138,0.0014,86.5798
7643,证书,n,名词,138,0.0014,86.584
7644,一口,n,名词,138,0.0014,86.577
7645,弟子,n,名词,138,0.0014,86.5756
7646,一派,mq,数量,138,0.0014,86.5742
7647,汉代,nt,时间名词,138,0.0014,86.5728
7648,美妙,a,形容词,138,0.0014,86.5714
7649,比喻,n,名词,138,0.0014,86.5826
7650,花费,v,动词,138,0.0014,86.5854
7651,出身,v,动词,138,0.0014,86.5882
7652,一贯,d,副词,138,0.0014,86.591
7653,星球,n,名词,138,0.0014,86.5924
7654,排水,v,动词,138,0.0014,86.5938
7655,鲫鱼,n,名词,138,0.0014,86.5952
7656,加剧,v,动词,138,0.0014,86.5966
7657,汉奸,n,名词,138,0.0014,86.5994
7658,政治委员,n,名词,138,0.0014,86.598
7659,勤,a,形容词,138,0.0014,86.5868
7660,逛,v,动词,137,0.0014,86.6792
7661,毒性,n,名词,137,0.0014,86.6708
7662,不当,a,形容词,137,0.0014,86.6722
7663,职员,n,名词,137,0.0014,86.6736
7664,细心,a,形容词,137,0.0014,86.675
7665,味儿,n,名词,137,0.0014,86.6764
7666,同伴,n,名词,137,0.0014,86.689
7667,图书,n,名词,137,0.0014,86.6778
7668,继承人,n,名词,137,0.0014,86.6666
7669,面目,n,名词,137,0.0014,86.6806
7670,婚姻法,n,名词,137,0.0014,86.682
7671,欧姆,q,量词,137,0.0014,86.6834
7672,此地,n,名词,137,0.0014,86.6848
7673,动脉,n,名词,137,0.0014,86.6918
7674,不知不觉,i,习用语,137,0.0014,86.703
7675,照明,v,动词,137,0.0014,86.7016
7676,兄,n,名词,137,0.0014,86.7002
7677,身影,n,名词,137,0.0014,86.6988
7678,其间,nd,方位名词,137,0.0014,86.6974
7679,蜡,n,名词,137,0.0014,86.696
7680,中小学,j,缩略语,137,0.0014,86.6946
7681,旋,v,动词,137,0.0014,86.6932
7682,远离,v,动词,137,0.0014,86.6862
7683,情操,n,名词,137,0.0014,86.6904
7684,洁白,a,形容词,137,0.0014,86.6876
7685,声调,n,名词,137,0.0014,86.6694
7686,臣,n,名词,137,0.0014,86.661
7687,老先生,n,名词,137,0.0014,86.6442
7688,长处,n,名词,137,0.0014,86.647
7689,花,a,形容词,137,0.0014,86.6638
7690,稻谷,n,名词,137,0.0014,86.6428
7691,下级,n,名词,137,0.0014,86.668
7692,只有,v,动词,137,0.0014,86.6414
7693,讨厌,a,形容词,137,0.0014,86.64
7694,华,nhf,人名-姓,137,0.0014,86.6386
7695,花生,n,名词,137,0.0014,86.6316
7696,报名,v,动词,137,0.0014,86.6358
7697,公安机关,n,名词,137,0.0014,86.6344
7698,甲烷,n,名词,137,0.0014,86.633
7699,熊,n,名词,137,0.0014,86.6372
7700,演唱,v,动词,137,0.0014,86.6456
7701,中性,n,名词,137,0.0014,86.6484
7702,显现,v,动词,137,0.0014,86.6498
7703,呼,v,动词,137,0.0014,86.6512
7704,嗨,e,叹词,137,0.0014,86.6526
7705,必有,v,动词,137,0.0014,86.654
7706,白云,n,名词,137,0.0014,86.6554
7707,燃,v,动词,137,0.0014,86.6568
7708,入手,v,动词,137,0.0014,86.6582
7709,衍射,v,动词,137,0.0014,86.6596
7710,捕鱼,v,动词,137,0.0014,86.6652
7711,不问,v,动词,137,0.0014,86.6624
7712,拧,v,动词,136,0.0014,86.759
7713,胚胎,n,名词,136,0.0014,86.7492
7714,一经,d,副词,136,0.0014,86.7506
7715,书包,n,名词,136,0.0014,86.752
7716,第六,m,数词,136,0.0014,86.7688
7717,参数,n,名词,136,0.0014,86.7534
7718,选拔,v,动词,136,0.0014,86.7464
7719,肚皮,n,名词,136,0.0014,86.7548
7720,未曾,d,副词,136,0.0014,86.7576
7721,看清,v,动词,136,0.0014,86.7604
7722,国土,n,名词,136,0.0014,86.7618
7723,电台,n,名词,136,0.0014,86.7632
7724,氢原子,n,名词,136,0.0014,86.7646
7725,苯,n,名词,136,0.0014,86.766
7726,失掉,v,动词,136,0.0014,86.7702
7727,孵化,v,动词,136,0.0014,86.78
7728,经营者,n,名词,136,0.0014,86.7814
7729,寄生虫,n,名词,136,0.0014,86.7786
7730,高产,n,名词,136,0.0014,86.7842
7731,挡住,v,动词,136,0.0014,86.7856
7732,一体,n,名词,136,0.0014,86.787
7733,遗嘱,n,名词,136,0.0014,86.7884
7734,通红,a,形容词,136,0.0014,86.7828
7735,赞叹,v,动词,136,0.0014,86.7772
7736,切断,v,动词,136,0.0014,86.7758
7737,束,n,名词,136,0.0014,86.7674
7738,电线,n,名词,136,0.0014,86.7744
7739,公开,a,形容词,136,0.0014,86.773
7740,畲族,ns,地名,136,0.0014,86.7716
7741,宗,n,名词,136,0.0014,86.7478
7742,狭,a,形容词,136,0.0014,86.7268
7743,家具,n,名词,136,0.0014,86.7198
7744,规划,v,动词,136,0.0014,86.7212
7745,汁,n,名词,136,0.0014,86.7156
7746,成正比,v,动词,136,0.0014,86.7044
7747,派遣,v,动词,136,0.0014,86.717
7748,音乐家,n,名词,136,0.0014,86.7226
7749,焦点,n,名词,136,0.0014,86.7142
7750,络,n,名词,136,0.0014,86.7128
7751,信徒,n,名词,136,0.0014,86.7114
7752,教义,n,名词,136,0.0014,86.71
7753,胸脯,n,名词,136,0.0014,86.7086
7754,疑问,n,名词,136,0.0014,86.7072
7755,警告,v,动词,136,0.0014,86.7058
7756,扰乱,v,动词,136,0.0014,86.7184
7757,拚命,v,动词,136,0.0014,86.7352
7758,条款,n,名词,136,0.0014,86.7436
7759,点着,v,动词,136,0.0014,86.7422
7760,利润率,n,名词,136,0.0014,86.7408
7761,波斯,ns,地名,136,0.0014,86.7394
7762,开垦,v,动词,136,0.0014,86.738
7763,刻度,n,名词,136,0.0014,86.7254
7764,吐出,v,动词,136,0.0014,86.7366
7765,健全,v,动词,136,0.0014,86.7562
7766,医药,n,名词,136,0.0014,86.724
7767,唤起,v,动词,136,0.0014,86.7338
7768,事后,nt,时间名词,136,0.0014,86.745
7769,小路,n,名词,136,0.0014,86.731
7770,朴素,a,形容词,136,0.0014,86.7296
7771,高涨,v,动词,136,0.0014,86.7324
7772,同化,v,动词,136,0.0014,86.7282
7773,雷,n,名词,135,0.0014,86.822
7774,不容,v,动词,135,0.0014,86.8192
7775,大国,n,名词,135,0.0014,86.8248
7776,葡萄糖,n,名词,135,0.0014,86.8262
7777,生有,v,动词,135,0.0014,86.8276
7778,决,d,副词,135,0.0014,86.829
7779,类似,a,形容词,135,0.0014,86.8304
7780,累,a,形容词,135,0.0014,86.8318
7781,救济,v,动词,135,0.0014,86.8332
7782,爬到,v,动词,135,0.0014,86.8346
7783,替代,v,动词,135,0.0014,86.8374
7784,临时,d,副词,135,0.0014,86.8472
7785,船头,n,名词,135,0.0014,86.8458
7786,侧重,v,动词,135,0.0014,86.8444
7787,当兵,v,动词,135,0.0014,86.843
7788,幼年,nt,时间名词,135,0.0014,86.8164
7789,返,v,动词,135,0.0014,86.8416
7790,铅笔,n,名词,135,0.0014,86.8206
7791,南海,ns,地名,135,0.0014,86.8402
7792,冲出,v,动词,135,0.0014,86.836
7793,猛,d,副词,135,0.0014,86.8388
7794,哄,v,动词,135,0.0014,86.8234
7795,相反,c,连词,135,0.0014,86.815
7796,据点,n,名词,135,0.0014,86.7926
7797,垫,v,动词,135,0.0014,86.794
7798,新式,a,形容词,135,0.0014,86.8024
7799,怎,r,代词,135,0.0014,86.7954
7800,副主席,n,名词,135,0.0014,86.7968
7801,不平,a,形容词,135,0.0014,86.7982
7802,流体,n,名词,135,0.0014,86.7996
7803,文革,j,缩略语,135,0.0014,86.801
7804,寨,n,名词,135,0.0014,86.7898
7805,韵,n,名词,135,0.0014,86.8038
7806,寺院,n,名词,135,0.0014,86.8052
7807,传导,v,动词,135,0.0014,86.8066
7808,投产,v,动词,135,0.0014,86.808
7809,罢,v,动词,135,0.0014,86.8094
7810,下面,n,名词,135,0.0014,86.8108
7811,桂林,ns,地名,135,0.0014,86.8122
7812,妇人,n,名词,135,0.0014,86.8178
7813,勿,d,副词,135,0.0014,86.8136
7814,光亮,n,名词,135,0.0014,86.7912
7815,花钱,v,动词,134,0.0014,86.8766
7816,数学家,n,名词,134,0.0014,86.906
7817,张学良,nh,人名,134,0.0014,86.8808
7818,不就,v,动词,134,0.0014,86.8836
7819,个体户,n,名词,134,0.0014,86.8794
7820,对外开放,v,动词,134,0.0014,86.885
7821,勘探,v,动词,134,0.0014,86.8864
7822,布,v,动词,134,0.0014,86.8878
7823,市政府,ni,机构名,134,0.0014,86.8892
7824,界,k,后接成分,134,0.0014,86.8906
7825,商标,n,名词,134,0.0014,86.892
7826,谜,n,名词,134,0.0014,86.9074
7827,科学院,n,名词,134,0.0014,86.8948
7828,油田,n,名词,134,0.0014,86.8962
7829,偏见,n,名词,134,0.0014,86.8976
7830,解开,v,动词,134,0.0014,86.899
7831,指挥,n,名词,134,0.0014,86.9004
7832,好听,a,形容词,134,0.0014,86.9018
7833,祖宗,n,名词,134,0.0014,86.8934
7834,穿着,n,名词,134,0.0014,86.9032
7835,蔡,nhf,人名-姓,134,0.0014,86.9046
7836,电视剧,n,名词,134,0.0014,86.8822
7837,次序,n,名词,134,0.0014,86.8752
7838,孙悟空,nh,人名,134,0.0014,86.8486
7839,宴会,n,名词,134,0.0014,86.85
7840,西风,n,名词,134,0.0014,86.8626
7841,磁铁,n,名词,134,0.0014,86.8542
7842,光子,n,名词,134,0.0014,86.8556
7843,群落,n,名词,134,0.0014,86.857
7844,厂房,n,名词,134,0.0014,86.8584
7845,销售额,n,名词,134,0.0014,86.8598
7846,变法,v,动词,134,0.0014,86.8612
7847,轻声,n,名词,134,0.0014,86.8528
7848,客观上,nl,处所名词,134,0.0014,86.864
7849,包袱,n,名词,134,0.0014,86.8654
7850,捆,v,动词,134,0.0014,86.8668
7851,众,n,名词,134,0.0014,86.878
7852,口头,n,名词,134,0.0014,86.8696
7853,性情,n,名词,134,0.0014,86.8514
7854,蒸,v,动词,134,0.0014,86.871
7855,泛,v,动词,134,0.0014,86.8724
7856,母体,n,名词,134,0.0014,86.8682
7857,新旧,n,名词,134,0.0014,86.8738
7858,华侨,n,名词,133,0.0014,86.9718
7859,宁静,a,形容词,133,0.0014,86.9704
7860,配子,n,名词,133,0.0014,86.969
7861,当时,n,名词,133,0.0014,86.9788
7862,党政,n,名词,133,0.0014,86.9676
7863,潜在,a,形容词,133,0.0014,86.9662
7864,尊,v,动词,133,0.0014,86.955
7865,绝望,v,动词,133,0.0014,86.9648
7866,高等教育,n,名词,133,0.0014,86.976
7867,举动,n,名词,133,0.0014,86.962
7868,储量,n,名词,133,0.0014,86.9606
7869,钱,nhf,人名-姓,133,0.0014,86.9592
7870,妹,n,名词,133,0.0014,86.9578
7871,入侵,v,动词,133,0.0014,86.9564
7872,陆军,n,名词,133,0.0014,86.9634
7873,吸引力,n,名词,133,0.0014,86.9802
7874,双,m,数词,133,0.0014,86.9914
7875,其中,n,名词,133,0.0014,86.9928
7876,生前,nt,时间名词,133,0.0014,86.99
7877,绣,v,动词,133,0.0014,86.9956
7878,联结,v,动词,133,0.0014,86.997
7879,怒,v,动词,133,0.0014,86.9984
7880,客观性,n,名词,133,0.0014,86.9998
7881,压制,v,动词,133,0.0014,86.9942
7882,权益,n,名词,133,0.0014,86.9088
7883,无效,v,动词,133,0.0014,86.9886
7884,犹豫,v,动词,133,0.0014,86.9732
7885,分辨,v,动词,133,0.0014,86.9872
7886,柳,n,名词,133,0.0014,86.9774
7887,旱,a,形容词,133,0.0014,86.9858
7888,大纲,n,名词,133,0.0014,86.9844
7889,招生,v,动词,133,0.0014,86.983
7890,美化,v,动词,133,0.0014,86.9816
7891,经济制度,n,名词,133,0.0014,86.9746
7892,逃走,v,动词,133,0.0014,86.9326
7893,复,d,副词,133,0.0014,86.9256
7894,豆,n,名词,133,0.0014,86.9242
7895,学会,n,名词,133,0.0014,86.9158
7896,链,n,名词,133,0.0014,86.9228
7897,塘,n,名词,133,0.0014,86.9298
7898,发展史,n,名词,133,0.0014,86.92
7899,借口,n,名词,133,0.0014,86.9102
7900,四化建设,i,习用语,133,0.0014,86.9116
7901,弯,v,动词,133,0.0014,86.913
7902,物种,n,名词,133,0.0014,86.9186
7903,虽说,c,连词,133,0.0014,86.9144
7904,遗传学,n,名词,133,0.0014,86.9172
7905,一九七九,m,数词,133,0.0014,86.927
7906,附加,v,动词,133,0.0014,86.9438
7907,鹅,n,名词,133,0.0014,86.9522
7908,越冬,v,动词,133,0.0014,86.9508
7909,惊醒,v,动词,133,0.0014,86.9494
7910,成语,n,名词,133,0.0014,86.948
7911,沙滩,n,名词,133,0.0014,86.9466
7912,共鸣,n,名词,133,0.0014,86.9452
7913,漆,n,名词,133,0.0014,86.9312
7914,面包,n,名词,133,0.0014,86.9424
7915,棚,n,名词,133,0.0014,86.941
7916,委屈,a,形容词,133,0.0014,86.9536
7917,竟是,vl,联系动词,133,0.0014,86.9284
7918,掩护,v,动词,133,0.0014,86.9396
7919,赐,v,动词,133,0.0014,86.9382
7920,经济核算,v,动词,133,0.0014,86.9368
7921,忧郁,a,形容词,133,0.0014,86.9354
7922,指明,v,动词,133,0.0014,86.934
7923,疏,a,形容词,133,0.0014,86.9214
7924,笼罩,v,动词,132,0.0014,87.039
7925,集会,n,名词,132,0.0014,87.0474
7926,沪,ns,地名,132,0.0014,87.0348
7927,二十九,m,数词,132,0.0014,87.0306
7928,航海,v,动词,132,0.0014,87.0362
7929,乐观,a,形容词,132,0.0014,87.0376
7930,黑夜,nt,时间名词,132,0.0014,87.0404
7931,巴西,ns,地名,132,0.0014,87.0418
7932,菩萨,n,名词,132,0.0014,87.0432
7933,馒头,n,名词,132,0.0014,87.0446
7934,贯穿,v,动词,132,0.0014,87.0488
7935,脱下,v,动词,132,0.0014,87.0614
7936,宏伟,a,形容词,132,0.0014,87.06
7937,螺旋,n,名词,132,0.0014,87.0586
7938,驾驶,v,动词,132,0.0014,87.0572
7939,拉到,v,动词,132,0.0014,87.0558
7940,保管,v,动词,132,0.0014,87.0544
7941,以色列,ns,地名,132,0.0014,87.0516
7942,前期,nt,时间名词,132,0.0014,87.046
7943,智能,n,名词,132,0.0014,87.0502
7944,精细,a,形容词,132,0.0014,87.053
7945,永,d,副词,132,0.0014,87.032
7946,来回,n,名词,132,0.0014,87.0264
7947,恐怖,v,动词,132,0.0014,87.0054
7948,战时,nt,时间名词,132,0.0014,87.004
7949,优,a,形容词,132,0.0014,87.0138
7950,浇,v,动词,132,0.0014,87.0068
7951,未知,v,动词,132,0.0014,87.0082
7952,词组,n,名词,132,0.0014,87.0096
7953,祖父,n,名词,132,0.0014,87.011
7954,写下,v,动词,132,0.0014,87.0124
7955,资,n,名词,132,0.0014,87.0012
7956,健壮,a,形容词,132,0.0014,87.0152
7957,长官,n,名词,132,0.0014,87.0166
7958,姊妹,n,名词,132,0.0014,87.018
7959,单,d,副词,132,0.0014,87.0194
7960,定量,v,动词,132,0.0014,87.0208
7961,包干,v,动词,132,0.0014,87.0278
7962,选定,v,动词,132,0.0014,87.0222
7963,预计,v,动词,132,0.0014,87.0334
7964,咧,u,助词,132,0.0014,87.0236
7965,高地,n,名词,132,0.0014,87.0292
7966,编写,v,动词,132,0.0014,87.025
7967,租界,n,名词,132,0.0014,87.0026
7968,照例,d,副词,131,0.0014,87.0936
7969,支,n,名词,131,0.0014,87.1146
7970,不堪,v,动词,131,0.0014,87.095
7971,期货,n,名词,131,0.0014,87.0894
7972,早日,d,副词,131,0.0014,87.0964
7973,上衣,n,名词,131,0.0014,87.0978
7974,刷,v,动词,131,0.0014,87.0992
7975,婶,n,名词,131,0.0014,87.1006
7976,核心,n,名词,131,0.0014,87.102
7977,隐蔽,v,动词,131,0.0014,87.116
7978,夏克明,nh,人名,131,0.0014,87.1048
7979,进一步,d,副词,131,0.0014,87.1062
7980,科学性,n,名词,131,0.0014,87.1076
7981,成虫,n,名词,131,0.0014,87.109
7982,委员长,n,名词,131,0.0014,87.1118
7983,光电,n,名词,131,0.0014,87.1034
7984,高级,f,区别词,131,0.0014,87.1132
7985,蹬,v,动词,131,0.0014,87.1104
7986,献,v,动词,131,0.0014,87.0922
7987,旅长,n,名词,131,0.0014,87.0838
7988,作过,v,动词,131,0.0014,87.0852
7989,不全,a,形容词,131,0.0014,87.0726
7990,灵敏,a,形容词,131,0.0014,87.0908
7991,忠诚,a,形容词,131,0.0014,87.0656
7992,看望,v,动词,131,0.0014,87.067
7993,唯物论,n,名词,131,0.0014,87.0684
7994,资产阶级革命,n,名词,131,0.0014,87.0698
7995,凝视,v,动词,131,0.0014,87.0712
7996,随便,d,副词,131,0.0014,87.0642
7997,抚摸,v,动词,131,0.0014,87.074
7998,骨骼,n,名词,131,0.0014,87.0754
7999,小船,n,名词,131,0.0014,87.0768
8000,庄,n,名词,131,0.0014,87.0782
8001,身躯,n,名词,131,0.0014,87.088
8002,俱,d,副词,131,0.0014,87.0796
8003,库存,n,名词,131,0.0014,87.0628
8004,光景,n,名词,131,0.0014,87.081
8005,敏锐,a,形容词,131,0.0014,87.0824
8006,就,v,动词,131,0.0014,87.0866
8007,入学,v,动词,130,0.0014,87.1594
8008,枕头,n,名词,130,0.0014,87.1496
8009,自卫,v,动词,130,0.0014,87.1552
8010,感受到,v,动词,130,0.0014,87.1566
8011,氢氧化钠,n,名词,130,0.0014,87.1608
8012,长出,v,动词,130,0.0014,87.1622
8013,因,n,名词,130,0.0014,87.1636
8014,排放,v,动词,130,0.0014,87.165
8015,必要,d,副词,130,0.0014,87.1664
8016,鼻孔,n,名词,130,0.0014,87.1678
8017,宝贝,n,名词,130,0.0014,87.1692
8018,重,q,量词,130,0.0014,87.1706
8019,唤,v,动词,130,0.0014,87.172
8020,主教,n,名词,130,0.0014,87.1734
8021,开阔,a,形容词,130,0.0014,87.1762
8022,小声,n,名词,130,0.0014,87.1916
8023,飞来,v,动词,130,0.0014,87.1888
8024,多层次,n,名词,130,0.0014,87.1874
8025,扒,v,动词,130,0.0014,87.186
8026,顺,a,形容词,130,0.0014,87.1846
8027,法庭,n,名词,130,0.0014,87.1902
8028,掠过,v,动词,130,0.0014,87.1832
8029,流向,v,动词,130,0.0014,87.1818
8030,私,n,名词,130,0.0014,87.1804
8031,忍耐,v,动词,130,0.0014,87.179
8032,有影响,v,动词,130,0.0014,87.1776
8033,墨西哥,ns,地名,130,0.0014,87.1748
8034,照相,v,动词,130,0.0014,87.158
8035,瞎,v,动词,130,0.0014,87.1524
8036,复制,v,动词,130,0.0014,87.13
8037,人造卫星,n,名词,130,0.0014,87.1286
8038,调到,v,动词,130,0.0014,87.1342
8039,染色,v,动词,130,0.0014,87.1272
8040,偶然性,n,名词,130,0.0014,87.1258
8041,径流,n,名词,130,0.0014,87.1202
8042,一块儿,n,名词,130,0.0014,87.1174
8043,飞翔,v,动词,130,0.0014,87.1188
8044,拥,v,动词,130,0.0014,87.1244
8045,损耗,v,动词,130,0.0014,87.1216
8046,翅,n,名词,130,0.0014,87.123
8047,偶尔,d,副词,130,0.0014,87.1314
8048,大叫,v,动词,130,0.0014,87.1356
8049,右边,nd,方位名词,130,0.0014,87.137
8050,喷出,v,动词,130,0.0014,87.1384
8051,致富,v,动词,130,0.0014,87.1398
8052,势能,n,名词,130,0.0014,87.1412
8053,专利,n,名词,130,0.0014,87.1426
8054,华北,ns,地名,130,0.0014,87.144
8055,当场,v,动词,130,0.0014,87.1454
8056,瓦,n,名词,130,0.0014,87.1468
8057,行,q,量词,130,0.0014,87.1538
8058,通用,v,动词,130,0.0014,87.1328
8059,席,n,名词,130,0.0014,87.151
8060,呼吁,v,动词,130,0.0014,87.1482
8061,果断,a,形容词,129,0.0013,87.2319
8062,胡适,nh,人名,129,0.0013,87.2267
8063,惊异,a,形容词,129,0.0013,87.228
8064,闺女,n,名词,129,0.0013,87.2293
8065,罕见,a,形容词,129,0.0013,87.2384
8066,想,vu,能愿动词,129,0.0013,87.2306
8067,冶炼,v,动词,129,0.0013,87.2228
8068,准,d,副词,129,0.0013,87.2332
8069,季风,n,名词,129,0.0013,87.2345
8070,进军,v,动词,129,0.0013,87.2358
8071,西德,ns,地名,129,0.0013,87.241
8072,咸,a,形容词,129,0.0013,87.2514
8073,仇恨,n,名词,129,0.0013,87.2501
8074,轻微,a,形容词,129,0.0013,87.2488
8075,大多数,m,数词,129,0.0013,87.2475
8076,枪声,n,名词,129,0.0013,87.2462
8077,长城,n,名词,129,0.0013,87.2449
8078,押,v,动词,129,0.0013,87.2436
8079,那年,r,代词,129,0.0013,87.2423
8080,经过,n,名词,129,0.0013,87.2202
8081,锡,n,名词,129,0.0013,87.2371
8082,造就,v,动词,129,0.0013,87.2241
8083,旺,a,形容词,129,0.0013,87.2397
8084,半夜,nt,时间名词,129,0.0013,87.2254
8085,胸部,n,名词,129,0.0013,87.2189
8086,炉子,n,名词,129,0.0013,87.1994
8087,友人,n,名词,129,0.0013,87.1929
8088,担,q,量词,129,0.0013,87.2007
8089,对准,v,动词,129,0.0013,87.2046
8090,八百,m,数词,129,0.0013,87.1981
8091,命,v,动词,129,0.0013,87.1968
8092,相对,v,动词,129,0.0013,87.1955
8093,做饭,v,动词,129,0.0013,87.1942
8094,话筒,n,名词,129,0.0013,87.202
8095,日期,nt,时间名词,129,0.0013,87.2059
8096,下乡,v,动词,129,0.0013,87.2072
8097,尖,n,名词,129,0.0013,87.2085
8098,想出,v,动词,129,0.0013,87.2098
8099,解答,v,动词,129,0.0013,87.2215
8100,洗澡,v,动词,129,0.0013,87.2124
8101,辨认,v,动词,129,0.0013,87.2033
8102,光滑,a,形容词,129,0.0013,87.2137
8103,列,n,名词,129,0.0013,87.215
8104,均衡,a,形容词,129,0.0013,87.2163
8105,妥协,v,动词,129,0.0013,87.2176
8106,贫,a,形容词,129,0.0013,87.2111
8107,发电,v,动词,128,0.0013,87.2787
8108,缝,v,动词,128,0.0013,87.2761
8109,逻辑思维,n,名词,128,0.0013,87.2748
8110,四海,nhs,人名-名,128,0.0013,87.2735
8111,蕴藏,v,动词,128,0.0013,87.2722
8112,佩服,v,动词,128,0.0013,87.2709
8113,满,d,副词,128,0.0013,87.2696
8114,范,nhf,人名-姓,128,0.0013,87.2683
8115,以南,nd,方位名词,128,0.0013,87.267
8116,平,v,动词,128,0.0013,87.2657
8117,尊敬,a,形容词,128,0.0013,87.2527
8118,女真,ns,地名,128,0.0013,87.2631
8119,现阶段,nt,时间名词,128,0.0013,87.2618
8120,分钟,nt,时间名词,128,0.0013,87.2605
8121,方才,d,副词,128,0.0013,87.2592
8122,以北,nd,方位名词,128,0.0013,87.2579
8123,维修,v,动词,128,0.0013,87.2566
8124,趋,v,动词,128,0.0013,87.2553
8125,法官,n,名词,128,0.0013,87.254
8126,民歌,n,名词,128,0.0013,87.2813
8127,深,n,名词,128,0.0013,87.2774
8128,归来,v,动词,128,0.0013,87.2644
8129,匪,n,名词,128,0.0013,87.3008
8130,集资,v,动词,128,0.0013,87.3047
8131,欣赏者,n,名词,128,0.0013,87.3164
8132,中农,n,名词,128,0.0013,87.3034
8133,等候,v,动词,128,0.0013,87.2982
8134,回,vd,趋向动词,128,0.0013,87.306
8135,自豪,a,形容词,128,0.0013,87.3073
8136,德育,n,名词,128,0.0013,87.3086
